bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,network_country
way/107621341-400,way/107621341,400.0,f,Substation,f,way/107621341,-98.84056522090546,19.54510380429509,MX,400.0,MX
way/109684120-400,way/109684120,400.0,f,Substation,f,way/109684120,-101.90166445207262,18.27883786689637,MX,400.0,MX
way/113005835-400,way/113005835,400.0,f,Substation,f,way/113005835,-96.39089536731952,18.2543949528572,MX,400.0,MX
way/124652375-400,way/124652375,400.0,f,Substation,f,way/124652375,-100.36732480221175,25.86525216346094,MX,400.0,MX
way/153402633-400,way/153402633,400.0,f,Substation,f,way/153402633,-93.58684848506924,17.178212707799112,MX,400.0,MX
way/318102144-400,way/318102144,400.0,f,Substation,f,way/318102144,-100.27922039092532,20.46779137685515,MX,400.0,MX
way/324339641-400,way/324339641,400.0,f,Substation,f,way/324339641,-109.01966214394564,25.9765879327928,MX,400.0,MX
way/325906412-400,way/325906412,400.0,f,Substation,f,way/325906412,-98.18362566893391,22.6076864671584,MX,400.0,MX
way/327445235-400,way/327445235,400.0,f,Substation,f,way/327445235,-101.73199624186633,23.87910663019792,MX,400.0,MX
way/382170046-400,way/382170046,400.0,f,Substation,f,way/382170046,-104.93706613705172,21.582092475071,MX,400.0,MX
way/390018953-400,way/390018953,400.0,f,Substation,f,way/390018953,-92.34834735562204,14.867090455498143,MX,400.0,MX
way/970712564-400,way/970712564,400.0,f,Substation,f,way/970712564,-97.77799765076828,25.79918806458852,MX,400.0,MX
way/1376647652-400,way/1376647652,400.0,f,Substation,f,way/1376647652,-113.21579136126928,31.331301349833485,MX,400.0,MX
MX43-400,MX43,400.0,f,Substation,f,MX43,-89.96112510000002,20.28574737161408,MX,400.0,MX
